Date,Team1_swID,Team1,Team1_Location,Team1_Score,Team2_swID,Team2,Team2_Location,Team2_Score
7/26/15,6,New York City FC,H,5,8,Orlando City SC,A,3
7/26/15,20,Vancouver Whitecaps FC,H,3,17,San Jose Earthquakes,A,1
8/1/15,11,Colorado Rapids,H,1,14,Los Angeles Galaxy,A,3
8/1/15,8,Orlando City SC,H,5,2,Columbus Crew SC,A,2
8/1/15,3,D.C. United,H,6,16,Real Salt Lake,A,4
8/1/15,19,Sporting Kansas City,H,1,13,Houston Dynamo,A,1
8/1/15,6,New York City FC,H,2,4,Montreal Impact,A,3
8/1/15,5,New England Revolution,H,3,10,Toronto FC,A,1
8/1/15,9,Philadelphia Union,H,1,7,New York Red Bulls,A,3
8/1/15,18,Seattle Sounders FC,H,0,20,Vancouver Whitecaps FC,A,3
8/2/15,1,Chicago Fire,H,2,12,FC Dallas,A,0
8/2/15,17,San Jose Earthquakes,H,0,15,Portland Timbers,A,0
8/5/15,4,Montreal Impact,H,1,7,New York Red Bulls,A,1
8/5/15,10,Toronto FC,H,4,8,Orlando City SC,A,1
8/7/15,15,Portland Timbers,H,1,1,Chicago Fire,A,0
8/8/15,11,Colorado Rapids,H,1,2,Columbus Crew SC,A,2
8/8/15,4,Montreal Impact,H,0,3,D.C. United,A,1
8/8/15,13,Houston Dynamo,H,2,17,San Jose Earthquakes,A,1
8/8/15,8,Orlando City SC,H,0,9,Philadelphia Union,A,0
8/8/15,20,Vancouver Whitecaps FC,H,4,16,Real Salt Lake,A,0
8/8/15,10,Toronto FC,H,1,19,Sporting Kansas City,A,3
8/9/15,14,Los Angeles Galaxy,H,3,18,Seattle Sounders FC,A,1
8/9/15,7,New York Red Bulls,H,2,6,New York City FC,A,0
8/13/15,6,New York City FC,H,3,3,D.C. United,A,1
8/14/15,17,San Jose Earthquakes,H,1,11,Colorado Rapids,A,0
8/15/15,12,FC Dallas,H,1,14,Los Angeles Galaxy,A,2
8/15/15,5,New England Revolution,H,2,13,Houston Dynamo,A,0
8/15/15,7,New York Red Bulls,H,3,10,Toronto FC,A,0
8/15/15,16,Real Salt Lake,H,0,15,Portland Timbers,A,1
8/15/15,19,Sporting Kansas City,H,4,20,Vancouver Whitecaps FC,A,3
8/16/15,9,Philadelphia Union,H,3,1,Chicago Fire,A,3
8/16/15,18,Seattle Sounders FC,H,4,8,Orlando City SC,A,0
8/19/15,2,Columbus Crew SC,H,2,6,New York City FC,A,2
8/19/15,19,Sporting Kansas City,H,0,17,San Jose Earthquakes,A,5
8/21/15,15,Portland Timbers,H,2,13,Houston Dynamo,A,2
8/22/15,1,Chicago Fire,H,0,11,Colorado Rapids,A,1
8/22/15,2,Columbus Crew SC,H,3,19,Sporting Kansas City,A,2
8/22/15,3,D.C. United,H,0,17,San Jose Earthquakes,A,2
8/22/15,20,Vancouver Whitecaps FC,H,1,12,FC Dallas,A,0
8/22/15,4,Montreal Impact,H,0,9,Philadelphia Union,A,1
8/22/15,10,Toronto FC,H,5,8,Orlando City SC,A,0
8/22/15,16,Real Salt Lake,H,2,18,Seattle Sounders FC,A,0
8/23/15,14,Los Angeles Galaxy,H,5,6,New York City FC,A,1
8/26/15,1,Chicago Fire,H,3,7,New York Red Bulls,A,2
8/26/15,11,Colorado Rapids,H,2,13,Houston Dynamo,A,1
8/28/15,17,San Jose Earthquakes,H,1,14,Los Angeles Galaxy,A,0
8/29/15,8,Orlando City SC,H,1,1,Chicago Fire,A,1
8/29/15,11,Colorado Rapids,H,2,19,Sporting Kansas City,A,1
8/29/15,6,New York City FC,H,1,2,Columbus Crew SC,A,2
8/29/15,12,FC Dallas,H,2,16,Real Salt Lake,A,0
8/29/15,13,Houston Dynamo,H,2,20,Vancouver Whitecaps FC,A,0
8/29/15,10,Toronto FC,H,2,4,Montreal Impact,A,1
8/29/15,9,Philadelphia Union,H,0,5,New England Revolution,A,1
8/30/15,7,New York Red Bulls,H,3,3,D.C. United,A,0
8/30/15,18,Seattle Sounders FC,H,2,15,Portland Timbers,A,1
9/5/15,4,Montreal Impact,H,4,1,Chicago Fire,A,3
9/5/15,5,New England Revolution,H,3,8,Orlando City SC,A,0
9/5/15,17,San Jose Earthquakes,H,1,9,Philadelphia Union,A,2
9/5/15,18,Seattle Sounders FC,H,2,10,Toronto FC,A,1
9/6/15,2,Columbus Crew SC,H,0,12,FC Dallas,A,3
9/9/15,20,Vancouver Whitecaps FC,H,2,11,Colorado Rapids,A,0
9/9/15,15,Portland Timbers,H,0,19,Sporting Kansas City,A,0
9/11/15,7,New York Red Bulls,H,3,1,Chicago Fire,A,2
9/12/15,11,Colorado Rapids,H,1,3,D.C. United,A,1
9/12/15,9,Philadelphia Union,H,1,2,Columbus Crew SC,A,2
9/12/15,12,FC Dallas,H,2,6,New York City FC,A,1
9/12/15,13,Houston Dynamo,H,1,16,Real Salt Lake,A,3
9/12/15,14,Los Angeles Galaxy,H,0,4,Montreal Impact,A,0
9/12/15,17,San Jose Earthquakes,H,1,18,Seattle Sounders FC,A,1
9/13/15,10,Toronto FC,H,1,5,New England Revolution,A,3
9/13/15,8,Orlando City SC,H,3,19,Sporting Kansas City,A,1
9/16/15,17,San Jose Earthquakes,H,1,4,Montreal Impact,A,1
9/16/15,5,New England Revolution,H,2,7,New York Red Bulls,A,1
9/16/15,6,New York City FC,H,2,10,Toronto FC,A,0
9/18/15,19,Sporting Kansas City,H,3,12,FC Dallas,A,1
9/19/15,1,Chicago Fire,H,0,8,Orlando City SC,A,1
9/19/15,10,Toronto FC,H,3,11,Colorado Rapids,A,1
9/19/15,3,D.C. United,H,1,2,Columbus Crew SC,A,2
9/19/15,16,Real Salt Lake,H,3,14,Los Angeles Galaxy,A,0
9/19/15,4,Montreal Impact,H,3,5,New England Revolution,A,0
9/19/15,6,New York City FC,H,3,17,San Jose Earthquakes,A,2
9/19/15,20,Vancouver Whitecaps FC,H,0,18,Seattle Sounders FC,A,3
9/20/15,9,Philadelphia Union,H,2,13,Houston Dynamo,A,0
9/20/15,15,Portland Timbers,H,0,7,New York Red Bulls,A,2
9/23/15,4,Montreal Impact,H,2,1,Chicago Fire,A,1
9/23/15,13,Houston Dynamo,H,1,19,Sporting Kansas City,A,0
9/25/15,7,New York Red Bulls,H,2,8,Orlando City SC,A,5
9/26/15,10,Toronto FC,H,3,1,Chicago Fire,A,2
9/26/15,13,Houston Dynamo,H,3,11,Colorado Rapids,A,2
9/26/15,2,Columbus Crew SC,H,1,15,Portland Timbers,A,2
9/26/15,4,Montreal Impact,H,2,3,D.C. United,A,0
9/26/15,5,New England Revolution,H,1,9,Philadelphia Union,A,1
9/26/15,20,Vancouver Whitecaps FC,H,1,6,New York City FC,A,2
9/27/15,14,Los Angeles Galaxy,H,3,12,FC Dallas,A,2
9/27/15,17,San Jose Earthquakes,H,1,16,Real Salt Lake,A,0
9/27/15,19,Sporting Kansas City,H,1,18,Seattle Sounders FC,A,1
10/2/15,3,D.C. United,H,2,6,New York City FC,A,1
10/3/15,1,Chicago Fire,H,3,5,New England Revolution,A,1
10/3/15,7,New York Red Bulls,H,2,2,Columbus Crew SC,A,1
10/3/15,8,Orlando City SC,H,2,4,Montreal Impact,A,1
10/3/15,10,Toronto FC,H,3,9,Philadelphia Union,A,1
10/3/15,15,Portland Timbers,H,0,19,Sporting Kansas City,A,1
10/3/15,17,San Jose Earthquakes,H,1,20,Vancouver Whitecaps FC,A,1
10/4/15,11,Colorado Rapids,H,1,16,Real Salt Lake,A,2
10/4/15,12,FC Dallas,H,4,13,Houston Dynamo,A,1
10/4/15,18,Seattle Sounders FC,H,1,14,Los Angeles Galaxy,A,1
10/7/15,20,Vancouver Whitecaps FC,H,0,12,FC Dallas,A,0
10/7/15,7,New York Red Bulls,H,2,4,Montreal Impact,A,1
10/10/15,11,Colorado Rapids,H,0,4,Montreal Impact,A,1
10/14/15,12,FC Dallas,H,2,20,Vancouver Whitecaps FC,A,0
10/14/15,10,Toronto FC,H,2,7,New York Red Bulls,A,1
10/14/15,16,Real Salt Lake,H,0,15,Portland Timbers,A,1
10/16/15,8,Orlando City SC,H,2,6,New York City FC,A,1
10/16/15,17,San Jose Earthquakes,H,1,19,Sporting Kansas City,A,0
10/17/15,10,Toronto FC,H,0,2,Columbus Crew SC,A,2
10/17/15,16,Real Salt Lake,H,0,12,FC Dallas,A,1
10/17/15,5,New England Revolution,H,0,4,Montreal Impact,A,1
10/18/15,3,D.C. United,H,4,1,Chicago Fire,A,0
10/18/15,13,Houston Dynamo,H,1,18,Seattle Sounders FC,A,1
10/18/15,14,Los Angeles Galaxy,H,2,15,Portland Timbers,A,5
10/18/15,7,New York Red Bulls,H,4,9,Philadelphia Union,A,1
10/21/15,19,Sporting Kansas City,H,0,11,Colorado Rapids,A,2
10/25/15,1,Chicago Fire,H,1,7,New York Red Bulls,A,2
10/25/15,15,Portland Timbers,H,4,11,Colorado Rapids,A,1
10/25/15,2,Columbus Crew SC,H,5,3,D.C. United,A,0
10/25/15,12,FC Dallas,H,2,17,San Jose Earthquakes,A,1
10/25/15,20,Vancouver Whitecaps FC,H,3,13,Houston Dynamo,A,0
10/25/15,19,Sporting Kansas City,H,2,14,Los Angeles Galaxy,A,1
10/25/15,4,Montreal Impact,H,2,10,Toronto FC,A,1
10/25/15,6,New York City FC,H,1,5,New England Revolution,A,3
10/25/15,9,Philadelphia Union,H,1,8,Orlando City SC,A,0
10/25/15,18,Seattle Sounders FC,H,3,16,Real Salt Lake,A,1
10/28/15,3,D.C. United,H,2,5,New England Revolution,A,1
10/28/15,18,Seattle Sounders FC,H,3,14,Los Angeles Galaxy,A,2
10/29/15,4,Montreal Impact,H,3,10,Toronto FC,A,0
10/29/15,15,Portland Timbers,H,1,19,Sporting Kansas City,A,1
11/1/15,4,Montreal Impact,H,2,2,Columbus Crew SC,A,1
11/1/15,3,D.C. United,H,0,7,New York Red Bulls,A,1
11/1/15,18,Seattle Sounders FC,H,2,12,FC Dallas,A,1
11/1/15,15,Portland Timbers,H,0,20,Vancouver Whitecaps FC,A,0
11/8/15,2,Columbus Crew SC,H,2,4,Montreal Impact,A,1
11/8/15,7,New York Red Bulls,H,1,3,D.C. United,A,0
11/8/15,12,FC Dallas,H,2,18,Seattle Sounders FC,A,1
11/8/15,20,Vancouver Whitecaps FC,H,0,15,Portland Timbers,A,2
11/22/15,2,Columbus Crew SC,H,2,7,New York Red Bulls,A,0
11/22/15,15,Portland Timbers,H,3,12,FC Dallas,A,1
11/29/15,7,New York Red Bulls,H,1,2,Columbus Crew SC,A,0
11/29/15,12,FC Dallas,H,2,15,Portland Timbers,A,2
12/6/15,2,Columbus Crew SC,H,1,15,Portland Timbers,A,2
